REGION,COAST,COAST,COAST,COAST,COAST,COAST,EAST,EAST,EAST,EAST,EAST,EAST,FWEST,FWEST,FWEST,FWEST,FWEST,FWEST,NCENT,NCENT,NCENT,NCENT,NCENT,NCENT,NORTH,NORTH,NORTH,NORTH,NORTH,NORTH,SCENT,SCENT,SCENT,SCENT,SCENT,SCENT,SOUTH,SOUTH,SOUTH,SOUTH,SOUTH,SOUTH,WEST,WEST,WEST,WEST,WEST,WEST
INDICATOR,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load,DryBulbTempC,Precip,Humidity,WetBulbTempC,WindSpeed,Load
DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 01:00:00,18.9,0.0,90.0,17.9,0.0,8791.789509,15.0,0.0,100.0,15.0,5.0,896.7463018999999,9.4,0.001,69.0,6.8,6.0,1997.7176349,8.9,0.0,63.0,5.9,6.0,9239.153285200002,4.4,0.0,65.0,2.0,9.0,683.6219856,11.85,0.0,98.0,11.8,0.0,4490.7813653,16.1,0.0,93.0,15.5,6.0,2366.6327453000004,5.9,,67.0,3.5,3.0,954.1928638
2017-01-01 02:00:00,18.9,0.0,93.0,18.2,0.0,8569.708419,15.0,0.0,100.0,15.0,5.0,865.9305675,9.4,0.0,69.0,6.8,6.0,1997.7813193,8.3,0.0,71.0,6.0,8.0,9104.997245,2.8,0.0,73.0,1.0,9.0,677.9693746,10.975,0.0,96.5,10.675,2.75,4370.656829699999,15.6,0.0,100.0,15.6,6.0,2332.7446301,6.033333333333334,,66.33333333333333,3.5,2.6666666666666665,951.025166
2017-01-01 03:00:00,18.3,0.0,97.0,18.0,3.0,8326.4256382,15.0,0.0,100.0,15.0,6.5,839.0511751,8.9,0.0,74.0,6.7,8.0,1993.6991600000001,7.8,0.0,71.0,5.5,6.0,8988.0352014,1.7,0.0,78.0,0.4,8.0,671.9989488,13.3,0.0,97.0,13.0,0.0,4210.6500026,15.6,0.0,96.0,15.2,6.0,2237.5062023,7.0,0.001,64.33333333333333,4.5,0.5,944.3577495
2017-01-01 04:00:00,18.5,0.0,92.0,17.766666666666666,2.0,8137.4973998,15.0,0.0,100.0,15.0,7.0,822.8293316,7.2,0.0,80.0,5.6,3.0,1995.5408764000003,7.2,0.0,74.0,5.2,6.0,8979.148462000001,3.3,0.0,73.0,1.5,7.0,675.2679712,13.925,0.0,95.5,13.525,2.0,4088.7130386999993,16.1,0.001,97.0,15.8,0.0,2178.1022651,6.583333333333332,0.01,77.0,4.99090909090909,3.9166666666666665,943.1887027
2017-01-01 05:00:00,18.3,0.0,93.0,17.7,0.0,8011.8695806999995,15.0,0.0,100.0,15.0,4.5,814.0161882,8.3,0.0,77.0,6.5,7.0,1995.2535012000003,6.1,0.0,80.0,4.6,8.0,9033.5476357,3.9,0.0,70.0,1.9,8.0,663.6198753,13.933333333333332,0.0,95.33333333333331,13.5,1.0,4021.7570945,16.7,0.01,96.0,16.3,11.0,2133.9538697999997,5.7333333333333325,,87.0,4.816666666666666,2.833333333333333,954.9379317
2017-01-01 06:00:00,17.8,0.0,93.0,17.1,0.0,7978.0996635,15.0,0.0,100.0,15.0,4.5,823.4193556,6.7,0.0,79.0,5.1,0.0,1981.3518973999999,8.35,0.001,83.0,7.050000000000002,11.0,9195.1579667,3.9,0.0,70.0,1.9,3.0,669.7479599,13.4,0.0,94.75,12.975,5.75,4045.3003208000005,17.8,0.03,91.5,16.950000000000006,16.0,2122.0165527,4.742857142857143,,88.7142857142857,3.88,2.0,972.5624136
2017-01-01 07:00:00,18.3,0.0,93.0,17.7,5.0,8057.1243841000005,15.0,0.0,100.0,15.0,6.0,844.9511071000001,5.0,0.0,89.0,4.2,6.0,1983.2769996,7.8,0.05,87.5,6.85,6.0,9507.3470215,2.8,0.0,76.0,1.2,8.0,684.4893333,11.1,0.0,83.0,9.7,7.0,4156.6659307,20.0,0.001,70.0,16.7,18.0,2146.5621610999997,4.775,,93.25,4.275,4.75,993.6403518999999
2017-01-01 08:00:00,18.3,0.0,93.0,17.7,0.0,8125.760479899999,15.0,0.0,100.0,15.0,3.0,874.5760299000001,7.2,0.0,86.0,6.1,9.0,2015.3130945,7.8,0.02,93.0,7.2,0.0,9881.5956575,2.8,0.0,73.0,1.0,3.0,710.2305418,10.6,0.0,74.0,8.4,7.0,4286.0821056,19.4,0.0,76.0,16.8,8.0,2137.6450427,5.0,,90.0,4.2,0.0,1019.3438323999999
2017-01-01 09:00:00,18.6,0.0,93.5,17.95,1.5,8289.1584212,15.3,0.0,100.0,15.3,1.5,919.2606824,8.3,0.0,86.0,7.2,9.0,2008.2480722,8.3,0.0,93.0,7.8,3.0,10215.312407700001,4.4,0.0,70.0,2.4,5.0,728.1655965,12.8,0.0,64.0,9.5,6.0,4441.3570225,20.6,0.0,76.0,17.8,0.0,2185.3270125999998,7.0,,83.0,5.9,3.0,1033.3390417
2017-01-01 10:00:00,18.9,0.0,93.0,18.2,0.0,8646.5238498,15.6,0.0,100.0,15.6,5.0,956.2144706,11.7,0.0,74.0,9.4,7.0,2024.8212535,9.45,0.0,94.5,9.0,8.0,10566.1375188,6.7,0.0,63.0,3.8,5.0,727.7709639,15.0,0.0,51.0,10.0,9.0,4604.2385194,21.7,0.0,71.0,18.3,10.0,2305.2970144,11.2,,61.0,7.6,5.0,1017.3893365
