"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000003vo7&c=000000000000000000000000000000000000000000000002&ct=0&tl_id=2-A&vs=INTL.29-7-USA-MK.A&cy=2015&vo=0&v=T&end=2016&showdm=y"
"Sat Aug 04 2018 13:01:42 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Electricity","Million Kw"
"","Capacity",""
"","Nuclear",""
"","United States","Million Kw",51.81,56.042,60.035,63.009,69.652,79.397,85.241,93.583,94.695,98.16061,99.62358,99.58888,98.98538,99.04108,99.14825,99.51486,100.78439,99.71564,97.06968,97.41061,97.86,98.159,98.657,99.209,99.628,99.988,100.334,100.266,100.755,101.0037,101.1674,101.4188,101.885,99.2403,98.5693,98.672,99.5648
"","Renewables",""
"","Renewables",""
"","United States","Million Kw",81.7,82.4,83,83.9,85.3,88.9,89.3,89.7,90.3,74.110934,73.923046,76.036306,74.772696,77.410411,78.040935,78.561734,76.437422,79.414569,79.150644,79.393068,110.503,111.119,112.776,115.001,115.075,119.95,126.047,138.0225,154.8616,175.6217,186.4473,201.0936,233.0484,244.4002,268.2113,295.1859,332.2358
"","Hydroelectricity",""
"","United States","Million Kw",81.7,82.4,83,83.9,85.3,88.9,89.3,89.7,90.3,74.110934,73.923046,76.036306,74.772696,77.410411,78.040935,78.561734,76.437422,79.414569,79.150644,79.393068,79.359,78.916,79.356,78.694,77.641,77.541,77.821,77.885,77.93,78.5177,78.8247,78.6516,78.738,79.2,79.6773,79.6642,79.9129
"","Non-Hydroelectric Renewables",""
"","Non-Hydroelectric Renewables",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.572,16.102,16.71,18.154,18.717,21.204,24.113,30.0685,38.4656,48.552,53.8113,61.221,77.1552,82.6001,97.9303,112.6501,132.544
"","Geothermal",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.793,2.216,2.252,2.133,2.152,2.285,2.274,2.214,2.229,2.3819,2.4046,2.4092,2.5921,2.607,2.5143,2.5415,2.5166
"","Solar, Tide, Wave, Fuel Cell",""
"","Solar, Tide, Wave, Fuel Cell",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.386,0.392,0.397,0.397,0.398,0.411,0.411,0.5015,0.5356,0.6185,0.8664,1.5235,3.1701,6.6225,17.6499,23.4418,34.7159
"","Tide, Wave, Fuel Cell",""
"","Tide and Wave",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Solar",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.386,0.392,0.397,0.397,0.398,0.411,0.411,0.5015,0.5356,0.6185,0.8664,1.5235,3.1701,6.6225,17.6499,23.4418,34.7159
"","Wind",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.377,3.864,4.417,5.995,6.456,8.706,11.329,16.515,24.651,34.2958,39.1345,45.6759,59.0748,59.9734,64.2315,72.5734,81.2866
"","Biomass and Waste",""
"","United States","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.016,9.63,9.644,9.629,9.711,9.802,10.099,10.838,11.05,11.2558,11.4058,11.6124,12.3182,13.3972,13.5346,14.0934,14.0249
"","Fossil Fuels",""
"","United States","Million Kw",444.1035,458.87114,469.558125,472.766009,478.579479,484.955389,488.337925,488.842225,490.609927,519.392172,527.77175,531.398326,536.733054,541.778483,549.99848,554.150013,561.698699,564.083352,563.875609,572.593052,598.883,634.894,689.521,731.185,745.446,757.052,761.603,763.995,770.222,774.2788,782.1757,786.2474,781.1576,774.3268,774.2942,758.476,750.2824
"","Hydroelectric Pumped Storage",""
"","United States","Million Kw",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.094424,19.462024,18.413574,21.189744,21.146398,21.207898,21.386568,21.110218,19.310098,19.518498,19.565298,19.522,19.664,20.371,20.522,20.764,21.347,21.461,21.886,21.858,22.1604,22.1989,22.2926,22.3683,22.3893,22.4851,22.5751,22.7787 
